channel x_pos y_pos z_pos
0 -40 -1200 -160
1 -40 -1195 -160
2 -40 -1190 -160
3 -40 -1185 -160
4 -40 -1180 -160
5 -40 -1175 -160
6 -40 -1170 -160
7 -40 -1165 -160
8 -40 -1160 -160
9 -40 -1155 -160
10 -40 -1150 -160
11 -40 -1145 -160
12 -40 -1140 -160
13 -40 -1135 -160
14 -40 -1130 -160
15 -40 -1125 -160
16 -40 -1120 -160
17 -40 -1115 -160
18 -40 -1110 -160
19 -40 -1105 -160
20 -40 -1100 -160
21 -40 -1095 -160
22 -40 -1090 -160
23 -40 -1085 -160
24 -40 -1080 -160
25 -40 -1075 -160
26 -40 -1070 -160
27 -40 -1065 -160
28 -40 -1060 -160
29 -40 -1055 -160
30 -40 -1050 -160
31 -40 -1045 -160
32 -40 -1040 -160
33 -40 -1035 -160
34 -40 -1030 -160
35 -40 -1025 -160
36 -40 -1020 -160
37 -40 -1015 -160
38 -40 -1010 -160
39 -40 -1005 -160
40 -40 -1000 -160
41 -40 -995 -160
42 -40 -990 -160
43 -40 -985 -160
44 -40 -980 -160
45 -40 -975 -160
46 -40 -970 -160
47 -40 -965 -160
48 -40 -960 -160
49 -40 -955 -160
50 -40 -950 -160
51 -40 -945 -160
52 -40 -940 -160
53 -40 -935 -160
54 -40 -930 -160
55 -40 -925 -160
56 -40 -920 -160
57 -40 -915 -160
58 -40 -910 -160
59 -40 -905 -160
60 -40 -900 -160
61 -40 -895 -160
62 -40 -890 -160
63 -40 -885 -160
64 -40 -880 -160
65 -40 -875 -160
66 -40 -870 -160
67 -40 -865 -160
68 -40 -860 -160
69 -40 -855 -160
70 -40 -850 -160
71 -40 -845 -160
72 -40 -840 -160
73 -40 -835 -160
74 -40 -830 -160
75 -40 -825 -160
76 -40 -820 -160
77 -40 -815 -160
78 -40 -810 -160
79 -40 -805 -160
80 -40 -800 -160
81 -40 -795 -160
82 -40 -790 -160
83 -40 -785 -160
84 -40 -780 -160
85 -40 -775 -160
86 -40 -770 -160
87 -40 -765 -160
88 -40 -760 -160
89 -40 -755 -160
90 -40 -750 -160
91 -40 -745 -160
92 -40 -740 -160
93 -40 -735 -160
94 -40 -730 -160
95 -40 -725 -160
96 -40 -720 -160
97 -40 -715 -160
98 -40 -710 -160
99 -40 -705 -160
100 -40 -700 -160
101 -40 -695 -160
102 -40 -690 -160
103 -40 -685 -160
104 -40 -680 -160
105 -40 -675 -160
106 -40 -670 -160
107 -40 -665 -160
108 -40 -660 -160
109 -40 -655 -160
110 -40 -650 -160
111 -40 -645 -160
112 -40 -640 -160
113 -40 -635 -160
114 -40 -630 -160
115 -40 -625 -160
116 -40 -620 -160
117 -40 -615 -160
118 -40 -610 -160
119 -40 -605 -160
120 -40 -600 -160
121 -40 -595 -160
122 -40 -590 -160
123 -40 -585 -160
124 -40 -580 -160
125 -40 -575 -160
126 -40 -570 -160
127 -40 -565 -160
128 -40 -560 -160
129 -40 -555 -160
130 -40 -550 -160
131 -40 -545 -160
132 -40 -540 -160
133 -40 -535 -160
134 -40 -530 -160
135 -40 -525 -160
136 -40 -520 -160
137 -40 -515 -160
138 -40 -510 -160
139 -40 -505 -160
140 -40 -500 -160
141 -40 -495 -160
142 -40 -490 -160
143 -40 -485 -160
144 -40 -480 -160
145 -40 -475 -160
146 -40 -470 -160
147 -40 -465 -160
148 -40 -460 -160
149 -40 -455 -160
150 -40 -450 -160
151 -40 -445 -160
152 -40 -440 -160
153 -40 -435 -160
154 -40 -430 -160
155 -40 -425 -160
156 -40 -420 -160
157 -40 -415 -160
158 -40 -410 -160
159 -40 -405 -160
160 -40 -400 -160
161 -40 -395 -160
162 -40 -390 -160
163 -40 -385 -160
164 -40 -380 -160
165 -40 -375 -160
166 -40 -370 -160
167 -40 -365 -160
168 -40 -360 -160
169 -40 -355 -160
170 -40 -350 -160
171 -40 -345 -160
172 -40 -340 -160
173 -40 -335 -160
174 -40 -330 -160
175 -40 -325 -160
176 -40 -320 -160
177 -40 -315 -160
178 -40 -310 -160
179 -40 -305 -160
180 -40 -300 -160
181 -40 -295 -160
182 -40 -290 -160
183 -40 -285 -160
184 -40 -280 -160
185 -40 -275 -160
186 -40 -270 -160
187 -40 -265 -160
188 -40 -260 -160
189 -40 -255 -160
190 -40 -250 -160
191 -40 -245 -160
192 -40 -240 -160
193 -40 -235 -160
194 -40 -230 -160
195 -40 -225 -160
196 -40 -220 -160
197 -40 -215 -160
198 -40 -210 -160
199 -40 -205 -160
200 -40 -200 -160
201 -40 -195 -160
202 -40 -190 -160
203 -40 -185 -160
204 -40 -180 -160
205 -40 -175 -160
206 -40 -170 -160
207 -40 -165 -160
208 -40 -160 -160
209 -40 -155 -160
210 -40 -150 -160
211 -40 -145 -160
212 -40 -140 -160
213 -40 -135 -160
214 -40 -130 -160
215 -40 -125 -160
216 -40 -120 -160
217 -40 -115 -160
218 -40 -110 -160
219 -40 -105 -160
220 -40 -100 -160
221 -40 -95 -160
222 -40 -90 -160
223 -40 -85 -160
224 -40 -80 -160
225 -40 -75 -160
226 -40 -70 -160
227 -40 -65 -160
228 -40 -60 -160
229 -40 -55 -160
230 -40 -50 -160
231 -40 -45 -160
232 -40 -40 -160
233 -40 -35 -160
234 -40 -30 -160
235 -40 -25 -160
236 -40 -20 -160
237 -40 -15 -160
238 -40 -10 -160
239 -40 -5 -160
240 -35 -1200 -160
241 -35 -1195 -160
242 -35 -1190 -160
243 -35 -1185 -160
244 -35 -1180 -160
245 -35 -1175 -160
246 -35 -1170 -160
247 -35 -1165 -160
248 -35 -1160 -160
249 -35 -1155 -160
250 -35 -1150 -160
251 -35 -1145 -160
252 -35 -1140 -160
253 -35 -1135 -160
254 -35 -1130 -160
255 -35 -1125 -160
256 -35 -1120 -160
257 -35 -1115 -160
258 -35 -1110 -160
259 -35 -1105 -160
260 -35 -1100 -160
261 -35 -1095 -160
262 -35 -1090 -160
263 -35 -1085 -160
264 -35 -1080 -160
265 -35 -1075 -160
266 -35 -1070 -160
267 -35 -1065 -160
268 -35 -1060 -160
269 -35 -1055 -160
270 -35 -1050 -160
271 -35 -1045 -160
272 -35 -1040 -160
273 -35 -1035 -160
274 -35 -1030 -160
275 -35 -1025 -160
276 -35 -1020 -160
277 -35 -1015 -160
278 -35 -1010 -160
279 -35 -1005 -160
280 -35 -1000 -160
281 -35 -995 -160
282 -35 -990 -160
283 -35 -985 -160
284 -35 -980 -160
285 -35 -975 -160
286 -35 -970 -160
287 -35 -965 -160
288 -35 -960 -160
289 -35 -955 -160
